Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
sll8012	sll8012	9205	9621	hypothetical protein	sll8012 // sll8011	sll8012 // sll8011
slr1617	slr1617	362185	363420	NAD-dependent epimerase/dehydratase family protein	slr1619 // slr1618 // slr1617 // slr1616 // slr1615	slr1619 // slr1618 // slr1617 // slr1616 // slr1615
psb27	slr1645	2070975	2071382	photosystem II protein Psb27	fetB // rnc // psb27	slr1647 // slr1646 // slr1645
SGL_RS18560	SGL_RS18560	31348	32598	GNAT family N-acetyltransferase	SGL_RS18560	SGL_RS18560
sll1187	sll1187	314255	315106	prolipoprotein diacylglyceryl transferase	sll1186 // sll1187	sll1186 // sll1187
slr1362	slr1362	1104246	1104647	DUF1824 family protein	slr1362	slr1362
sll1087	sll1087	1940549	1942087	sodium:solute symporter	sll1087	sll1087
slr1694	slr1694	1988385	1988837	BLUF domain-containing protein	slr1694	slr1694
SGL_RS05515	SGL_RS05515	783113	783307	hypothetical protein	SGL_RS05515	SGL_RS05515
sll1298	sll1298	678283	679023	dienelactone hydrolase family protein	sll1298 // sll1299	sll1298 // sll1299
rplJ	sll1745	923318	923839	50S ribosomal protein L10	rplJ	sll1745
slr0747	slr0747	3410761	3411852	ABC transporter ATP-binding protein	slr0747	slr0747
slr1979	slr1979	1800387	1801844	anthranilate synthase component I	slr1980 // slr1979	slr1980 // slr1979
sll1527	sll1527	2057469	2060975	glycosyltransferase	sll1527 // sll1528 // sll1530 // sll1531	sll1527 // sll1528 // sll1530 // sll1531
sll0830	sll0830	2845180	2847189	elongation factor G	sll0830	sll0830
ispD	slr0951	2021252	2021944	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	ispD	slr0951
slr5071	slr5071	71474	71818	helix-turn-helix transcriptional regulator	slr5071	slr5071
queA	sll0467	2940566	2941666	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	queA	sll0467
sll5109	sll5109	100798	102288	hypothetical protein	sll5109 // SGL_RS18520 // SGL_RS19305	sll5109 // SGL_RS18520 // SGL_RS19305
slr1028	slr1028	646129	658047	DUF4114 domain-containing protein	slr1028	slr1028
slr1726	slr1726	1486688	1487410	DUF4230 domain-containing protein	slr1726	slr1726
sll0842	sll0842	1358846	1360372	glycoside hydrolase family 13 protein	sll0842 // sll0843	sll0842 // sll0843
sll1860	sll1860	2226619	2227404	IS5 family transposase	sll1860	sll1860
slr1994	slr1994	1438704	1439426	beta-ketoacyl-ACP reductase	slr1994	slr1994
slr0544	slr0544	3217855	3218655	ABC transporter ATP-binding protein	slr0544	slr0544
sll1957	sll1957	1412237	1412551	winged helix-turn-helix transcriptional regulator	sll1957	sll1957
sll0923	sll0923	345536	347806	multidrug MFS transporter	sll0923	sll0923
slr1564	slr1564	3371247	3372023	RNA polymerase sigma factor SigF	slr1564	slr1564
slr1881	slr1881	1239490	1240212	ABC transporter ATP-binding protein	slr1881	slr1881
slr0816	slr0816	1701615	1702118	DUF177 domain-containing protein	slr0816	slr0816
rub	slr2033	569141	569488	rubredoxin	rub	slr2033
slr1668	slr1668	3476642	3477484	molecular chaperone	slr1668	slr1668
psaL	slr1655	3457459	3457932	PsaL	psaL	slr1655
pstS	slr1247	1388912	1389913	phosphate ABC transporter substrate-binding protein PstS	pstB // pstA // pstC // pstS	slr1250 // slr1249 // slr1248 // slr1247
ST6803t16	ST6803t16	1619762	1619834	tRNA-Phe	ST6803t16	ST6803t16
ssr0332	ssr0332	2748946	2749158	DUF2839 domain-containing protein	ssr0332	ssr0332
sll0156	sll0156	2334877	2335503	hypothetical protein	sll0156	sll0156
rnc	slr0346	2431704	2432438	ribonuclease III	rnc	slr0346
malQ	sll1676	245502	247019	4-alpha-glucanotransferase	malQ	sll1676
slr1962	slr1962	1763726	1764838	TRAP transporter substrate-binding protein	slr1962	slr1962
sll5034	sll5034	34001	34624	DUF3365 domain-containing protein	sll5034 // sll5033	sll5034 // sll5033
pgi	slr1349	1744498	1746093	glucose-6-phosphate isomerase	pgi	slr1349
slr1896	slr1896	845482	845874	DUF1823 family protein	slr1896	slr1896
slr1450	slr1450	1091317	1091631	hypothetical protein	slr1450 // slr1449	slr1450 // slr1449
sll1452	sll1452	1006234	1008246	ABC transporter substrate-binding protein	sll1452	sll1452
sll0224	sll0224	152154	153050	amino acid ABC transporter substrate-binding protein	sll0224 // sll0225	sll0224 // sll0225
ylqF	slr0267	1519114	1519953	ribosome biogenesis GTPase YlqF	ylqF	slr0267
kdpA	slr1728	1493025	1494701	potassium-transporting ATPase subunit A	ssr2912 // kdpB // kdpA	ssr2912 // slr1729 // slr1728
ftsY	slr2102	1570209	1571723	signal recognition particle-docking protein FtsY	slr2103 // ftsY	slr2103 // slr2102
sll8035	sll8035	30084	30587	hypothetical protein	sll8035	sll8035
ispG	slr2136	1262049	1263260	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	ispG	slr2136
slr0356	slr0356	2455121	2455711	DUF2808 domain-containing protein	slr0356 // slr0355	slr0356 // slr0355
sll5067	sll5067	68050	68574	ATP-binding protein	sll5067	sll5067
SGL_RS18870	SGL_RS18870	1682097	1682327	hypothetical protein	SGL_RS18870	SGL_RS18870
sll1853	sll1853	2233809	2234273	DUF3750 domain-containing protein	ndk // sll1853	sll1852 // sll1853
ssl0312	ssl0312	2306600	2306800	hypothetical protein	ssl0312	ssl0312
ssl3615	ssl3615	776058	776342	hypothetical protein	ssl3615 // sll1912	ssl3615 // sll1912
sll5026	sll5026	28096	30168	DNA phosphorothioation-associated putative methyltransferase	sll5026	sll5026
ssr2194	ssr2194	1654943	1655140	hypothetical protein	ssr2194	ssr2194
slr6015	slr6015	16436	18091	hypothetical protein	slr6016 // slr6015 // slr6014 // slr6013	slr6016 // slr6015 // slr6014 // slr6013
slr6001	slr6001	465	3053	PAS domain-containing protein	slr6001	slr6001
sll1939	sll1939	581518	582162	hypothetical protein	sll1939 // sll1940	sll1939 // sll1940
gltX	sll0179	2741674	2743125	glutamate--tRNA ligase	gltX	sll0179
cydB	slr1380	675344	676354	cytochrome d ubiquinol oxidase subunit II	cydB // slr1379	slr1380 // slr1379
fldA	sll0248	1516659	1517171	flavodoxin FldA	fldA	sll0248
slr1861	slr1861	1199172	1199603	anti-sigma regulatory factor	slr1861 // slr1860	slr1861 // slr1860
slr0049	slr0049	2562953	2564149	saccharopine dehydrogenase family protein	thiS // slr0049	ssr0102 // slr0049
pstB	sll0683	2637743	2638552	phosphate ABC transporter ATP-binding protein	pstS // pstC // pstA // pstB // pstB	sll0680 // sll0681 // sll0682 // sll0683 // sll0684
secE	ssl3335	926313	926558	preprotein translocase subunit SecE	secE	ssl3335
SGL_RS06465	SGL_RS06465	982633	982920	hypothetical protein	SGL_RS06465	SGL_RS06465
sll1582	sll1582	716309	719665	AAA family ATPase	sll1582	sll1582
slr1854	slr1854	1191856	1192452	thimanine synthesis protein ThiJ	glgX // slr1856 // slr1855 // slr1854	slr1857 // slr1856 // slr1855 // slr1854
slr0610	slr0610	3571711	3572403	ABC transporter permease	slr0610	slr0610
SGL_RS19385	SGL_RS19385	44249	44419	hypothetical protein	SGL_RS19385	SGL_RS19385
sll1032	sll1032	215504	216229	hypothetical protein	sll1031 // sll1032	sll1031 // sll1032
slr1037	slr1037	667447	667842	response regulator	slr1037	slr1037
slr0579	slr0579	2822101	2822454	hypothetical protein	slr0579	slr0579
dapB	sll1058	76580	77407	4-hydroxy-tetrahydrodipicolinate reductase	dapB	sll1058
sll0615	sll0615	2650377	2650997	TMEM165/GDT1 family protein	sll0615	sll0615
sll0688	sll0688	2633852	2634655	hypothetical protein	sll0686 // sll0687 // sll0688	sll0686 // sll0687 // sll0688
sll1051	sll1051	88017	88661	HEAT repeat domain-containing protein	sll1051	sll1051
slr0320	slr0320	2267490	2269085	B12-binding domain-containing radical SAM protein	slr0320	slr0320
acnB	slr0665	3348690	3351296	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	acnB	slr0665
sll0442	sll0442	3497016	3497351	hypothetical protein	sll0441 // sll0442	sll0441 // sll0442
sll1897	sll1897	1762454	1762879	EVE domain-containing protein	sll1897	sll1897
slr1393	slr1393	701343	704267	GAF domain-containing protein	slr1393	slr1393
cbiM	sll0383	2693080	2693724	cobalt transporter CbiM	sll0381 // sll0382 // cbiM // cbiQ // sll0385	sll0381 // sll0382 // sll0383 // sll0384 // sll0385
slr0373	slr0373	2375092	2375448	hypothetical protein	slr0373	slr0373
xth	sll1854	2233037	2233834	exodeoxyribonuclease III	xth	sll1854
slr1413	slr1413	178237	179682	DUF697 domain-containing protein	slr1413	slr1413
sll1456	sll1456	998010	998918	FkbM family methyltransferase	sll1456	sll1456
slr0262	slr0262	1511217	1511621	hypothetical protein	slr0262	slr0262
sll0772	sll0772	2397478	2399118	iron uptake porin	sll0772	sll0772
slr1533	slr1533	1908804	1909151	hypothetical protein	slr1534 // slr1533	slr1534 // slr1533
sll0776	sll0776	3082151	3083668	protein kinase	sll0776 // sll0777	sll0776 // sll0777
sll1500	sll1500	486244	487353	TIGR00303 family protein	sll1500 // cobB	sll1500 // sll1501
slr1074	slr1074	377620	378951	hypothetical protein	slr1074 // slr1073	slr1074 // slr1073
slr0980	slr0980	351036	351467	DUF29 domain-containing protein	slr0980	slr0980
slr2082	slr2082	1540650	1542284	cytochrome c oxidase subunit I	slr2082	slr2082
obgE	slr1090	397037	398143	GTPase ObgE	obgE	slr1090
sll7047	sll7047	40637	41368	DUF4386 domain-containing protein	sll7047	sll7047
slr1820	slr1820	1304971	1306443	glycosyltransferase family 39 protein	slr1820	slr1820
cas6	slr7068	62908	64011	CRISPR-associated endoribonuclease Cas6	cas6	slr7068
slr1520	slr1520	1611574	1612629	aldo/keto reductase	slr1520	slr1520
sll1543	sll1543	3475181	3475618	PIN domain-containing protein	sll1543 // SGL_RS19525	sll1543 // SGL_RS19525
sll7003	sll7003	1399	1827	type II toxin-antitoxin system VapC family toxin	sll7003	sll7003
sll0237	sll0237	1534548	1535579	extracellular solute-binding protein	sll0237 // sll0238 // sll0240 // sll0241 // sll0242	sll0237 // sll0238 // sll0240 // sll0241 // sll0242
sll6053	sll6053	51986	53401	hypothetical protein	sll6055 // sll6054 // sll6053	sll6055 // sll6054 // sll6053
slr1119	slr1119	69284	69985	hypothetical protein	slr1119	slr1119
ssl5129	ssl5129	116636	116830	hypothetical protein	ssl5129	ssl5129
slr0454	slr0454	3504240	3506969	efflux RND transporter permease subunit	slr0454	slr0454
slr1421	slr1421	3273693	3274016	DUF4258 domain-containing protein	SGL_RS17030 // slr1421 // SGL_RS17020	SGL_RS17030 // slr1421 // SGL_RS17020
sll1384	sll1384	1829553	1830497	J domain-containing protein	sll1384	sll1384
ruvA	sll0876	1132264	1132899	Holliday junction branch migration protein RuvA	sll0875 // ruvA	sll0875 // sll0876
sll7077	sll7077	72878	73459	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	sll7078 // sll7077	sll7078 // sll7077
slr0376	slr0376	2377177	2377527	DUF1257 domain-containing protein	slr0376	slr0376
recA	sll0569	3549956	3551020	recombinase RecA	recA	sll0569
slr0965	slr0965	324831	326006	DNA polymerase III subunit beta	slr0965	slr0965
gltA	sll0401	2560112	2561293	citrate synthase	gltA	sll0401
sll1205	sll1205	20615	21595	helix-turn-helix transcriptional regulator	sll1205	sll1205
slr1610	slr1610	355909	357210	class I SAM-dependent methyltransferase	slr1611 // slr1610	slr1611 // slr1610
sll1694	sll1694	1296993	1297499	prepilin-type N-terminal cleavage/methylation domain-containing protein	sll1694	sll1694
slr1681	slr1681	1969468	1970430	hypothetical protein	slr1681	slr1681
slr1629	slr1629	2041999	2042982	RluA family pseudouridine synthase	slr1629 // slr1628	slr1629 // slr1628
tgt	slr0713	3118391	3119515	tRNA guanosine(34) transglycosylase Tgt	tgt	slr0713
ssl1378	ssl1378	3424394	3424648	hypothetical protein	accA // sll0729 // ssl1378	sll0728 // sll0729 // ssl1378
sll1173	sll1173	1871855	1872589	FkbM family methyltransferase	sll1173 // sll1174	sll1173 // sll1174
sll0172	sll0172	2310533	2310991	hypothetical protein	sll0172	sll0172
slr0881	slr0881	1142101	1142412	hypothetical protein	slr0881	slr0881
sll0677	sll0677	3093908	3094693	IS5 family transposase	sll0677	sll0677
slr1160	slr1160	1922124	1922738	hypothetical protein	slr1160	slr1160
slr1006	slr1006	120298	120537	hypothetical protein	slr1006	slr1006
slr0732	slr0732	117869	118336	hypothetical protein	slr0732	slr0732
SGL_RS14230	SGL_RS14230	2646301	2646522	hypothetical protein	SGL_RS14230	SGL_RS14230
dxr	sll0019	2469245	2470426	1-deoxy-D-xylulose-5-phosphate reductoisomerase	dxr	sll0019
cas10d	slr7011	8531	11458	type I-D CRISPR-associated protein Cas10d/Csc3	cas10d // cas3	slr7011 // slr7010
slr1491	slr1491	42405	43397	iron-siderophore ABC transporter substrate-binding protein	slr1491	slr1491
slr1078	slr1078	382949	383266	UDP-glucose 4-epimerase	ssr1768 // SGL_RS03715 // SGL_RS18675 // slr1078 // ssr1766 // ssr1765	ssr1768 // SGL_RS03715 // SGL_RS18675 // slr1078 // ssr1766 // ssr1765
shc	slr2089	1550952	1552895	squalene--hopene cyclase	shc	slr2089
sll0328	sll0328	2389062	2389481	hypothetical protein	sll0327 // sll0328	sll0327 // sll0328
ssl2245	ssl2245	1048750	1049016	hypothetical protein	ssl2245 // sll1130	ssl2245 // sll1130
aroF	sll0934	334568	335623	3-deoxy-7-phosphoheptulonate synthase	aroF	sll0934
slr0960	slr0960	2030534	2030974	hypothetical protein	slr0960	slr0960
SGL_RS19005	SGL_RS19005	2448222	2448404	30S ribosomal protein S21	SGL_RS19005	SGL_RS19005
sll5044	sll5044	42442	43083	hypothetical protein	sll5044	sll5044
aroA	slr0444	2088680	2090023	3-phosphoshikimate 1-carboxyvinyltransferase	aroA	slr0444
slr0885	slr0885	1148722	1149297	Uma2 family endonuclease	slr0885	slr0885
slr2010	slr2010	751034	751426	cation:proton antiporter	slr2012 // slr2011 // ssr3410 // ssr3409 // slr2010 // slr2009	slr2012 // slr2011 // ssr3410 // ssr3409 // slr2010 // slr2009
ssr1155	ssr1155	437705	437908	DUF2949 domain-containing protein	slr0689 // ssr1155	slr0689 // ssr1155
slr0891	slr0891	1159029	1160804	N-acetylmuramoyl-L-alanine amidase	slr0891	slr0891
sll5104	sll5104	97790	98212	arsenate reductase family protein	sll5104	sll5104
rpmA	ssr2799	1958240	1958503	50S ribosomal protein L27	rpmA	ssr2799
slr6022	slr6022	23048	23833	hypothetical protein	slr6022	slr6022
dnaK	sll0058	2586572	2588650	molecular chaperone DnaK	dnaK	sll0058
ssl3692	ssl3692	1420550	1420846	DUF2442 domain-containing protein	ssl3692 // SGL_RS18800	ssl3692 // SGL_RS18800
slr1257	slr1257	1401809	1403002	transporter substrate-binding domain-containing protein	slr1257	slr1257
slr0061	slr0061	2584793	2585458	hypothetical protein	slr0061	slr0061
SGL_RS18700	SGL_RS18700	605541	606388	IS630 family transposase	SGL_RS18700	SGL_RS18700
lysA	sll0504	3205694	3207103	diaminopimelate decarboxylase	lysA	sll0504
sll1870	sll1870	1813554	1814234	methionine ABC transporter ATP-binding protein	sll1869 // sll1870	sll1869 // sll1870
slr2052	slr2052	597591	598487	hypothetical protein	slr2052	slr2052
sll7028	sll7028	26352	27608	hypothetical protein	sll7029 // sll7028	sll7029 // sll7028
slr0110	slr0110	2992055	2992690	ParA family protein	slr0110	slr0110
slr1071	slr1071	374646	375452	methyltransferase domain-containing protein	slr1072 // slr1071	slr1072 // slr1071
sll1240	sll1240	1649441	1649914	hypothetical protein	sll1239 // sll1240 // sll1241	sll1239 // sll1240 // sll1241
sll1845	sll1845	2243250	2243729	TspO/MBR family protein	sll1845	sll1845
recF	sll1277	1099214	1100368	DNA replication/repair protein RecF	recF	sll1277
slr0835	slr0835	2842772	2843683	MoxR family ATPase	rfbB // slr0835	slr0836 // slr0835
slr0797	slr0797	3058411	3060339	heavy metal translocating P-type ATPase	slr0797	slr0797
ccmK4	slr1839	956275	956613	carbon dioxide-concentrating mechanism protein CcmK	ccmK4	slr1839
trpB	slr0543	3213272	3214510	tryptophan synthase subunit beta	trpB	slr0543
psaF	sll0819	1687556	1688053	PsaF	psaF	sll0819
slr0645	slr0645	2674101	2674721	VWA domain-containing protein	dacB // slr0645	slr0646 // slr0645
slr1638	slr1638	2050496	2050819	DUF760 domain-containing protein	slr1638	slr1638
atpC	slr1330	1668531	1668941	ATP synthase F1, &epsilon; subunit	atpC // atpD	slr1330 // slr1329
minE	ssl0546	3007280	3007573	cell division topological specificity factor MinE	minC // minD // minE	sll0288 // sll0289 // ssl0546
slr1192	slr1192	3532600	3533610	NAD(P)-dependent alcohol dehydrogenase	slr1192	slr1192
slr1262	slr1262	1405981	1406847	sulfite exporter TauE/SafE family protein	slr1262 // slr1261	slr1262 // slr1261
slr0541	slr0541	3211808	3212518	C26 family cysteine hydrolase domain-containing family	slr0541	slr0541
slr0699	slr0699	3089093	3089515	hypothetical protein	slr0699	slr0699
slr0945	slr0945	2011521	2012141	arsenical resistance protein ArsH	slr0945	slr0945
sll0102	sll0102	2977086	2978162	hypothetical protein	sll0102	sll0102
ssl0832	ssl0832	3503304	3503585	hypothetical protein	ssl0832	ssl0832
slr1974	slr1974	1788550	1789908	ribosome biogenesis GTPase Der	slr1974	slr1974
clpP3	slr0165	2206551	2207159	ATP-dependent Clp protease proteolytic subunit	clpP3	slr0165
ssl2781	ssl2781	1590134	1590382	hypothetical protein	ssl2781	ssl2781
asnS	sll0495	3222476	3223864	asparagine--tRNA ligase	asnS // sll0496	sll0495 // sll0496
sll1163	sll1163	1379715	1380122	cupin domain-containing protein	sll1162 // sll1163 // sll1164	sll1162 // sll1163 // sll1164
sll0798	sll0798	3048902	3050266	two-component sensor histidine kinase	sll0797 // sll0798	sll0797 // sll0798
sll0606	sll0606	2667542	2668972	ABC transporter substrate-binding protein	sll0606	sll0606
sll1343	sll1343	3275314	3277923	M1 family metallopeptidase	sll1343 // sll1344	sll1343 // sll1344
sll0936	sll0936	329555	331060	UbiD family decarboxylase	sll0936 // ssl1792 // sll0938 // sll0939	sll0936 // ssl1792 // sll0938 // sll0939
slr0841	slr0841	2853611	2854486	META domain-containing protein	slr0841	slr0841
ssl2420	ssl2420	1674044	1674298	hypothetical protein	ssl2420 // sll1225	ssl2420 // sll1225
sll0785	sll0785	3069162	3070250	MSMEG_0568 family radical SAM protein	sll0784 // sll0785 // sll0786 // sll0787 // ssl1464 // SGL_RS19090	sll0784 // sll0785 // sll0786 // sll0787 // ssl1464 // SGL_RS19090
slr2036	slr2036	573494	574510	IS4 family transposase	slr2036	slr2036
ssl2138	ssl2138	1933854	1934060	DUF2281 domain-containing protein	ssl2138 // sll1092	ssl2138 // sll1092
hypE	sll1462	991735	992772	hydrogenase expression/formation protein HypE	hypE	sll1462
ssl3829	ssl3829	1267693	1267950	chlororespiratory reduction protein 7	ssl3829	ssl3829
SGL_RS07745	SGL_RS07745	1255837	1256040	hypothetical protein	SGL_RS07745	SGL_RS07745
purE	sll0901	3227379	3227909	5-(carboxyamino)imidazole ribonucleotide mutase	purE	sll0901
sll0268	sll0268	2110697	2111104	YtxH domain-containing protein	sll0267 // sll0268	sll0267 // sll0268
slr0254	slr0254	160258	161058	RDD family protein	slr0254	slr0254
slr0829	slr0829	2833378	2835867	PAS domain S-box protein	slr0829	slr0829
sll1994a	sll1994a	1643502	1643600	cytochrome b6	sll1994a	sll1994a
sll5063	sll5063	65758	66480	transposase	sll5063	sll5063
leuS	sll1074	806716	809325	leucine--tRNA ligase	leuS // SGL_RS05610	sll1074 // SGL_RS05610
slr1540	slr1540	977932	978867	NAD-dependent epimerase/dehydratase family protein	slr1540	slr1540
sll1980	sll1980	1559069	1559611	thioredoxin fold domain-containing protein	sll1980	sll1980
sll0781	sll0781	3075110	3075577	DUF1348 family protein	SGL_RS19095 // sll0781	SGL_RS19095 // sll0781
sll5097	sll5097	93862	94866	WYL domain-containing transcriptional regulator	sll5097 // ssl5096	sll5097 // ssl5096
slr1660	slr1660	3461844	3462422	DUF3172 domain-containing protein	slr1660	slr1660
ssr3383	ssr3383	1431698	1431901	photosystem I reaction center subunit XII	ssr3383	ssr3383
sll0744	sll0744	3126311	3127342	dihydroorotate dehydrogenase-like protein	sll0742 // sll0743 // sll0744	sll0742 // sll0743 // sll0744
sll5081	sll5081	79505	80293	DUF1963 domain-containing protein	sll5081	sll5081
sll1600	sll1600	1480463	1481383	metal ABC transporter permease	sll1599 // sll1600	sll1599 // sll1600
slr1732	slr1732	1311828	1312277	hypothetical protein	slr1732	slr1732
slr0443	slr0443	2087356	2087733	hypothetical protein	slr0443	slr0443
sll0508	sll0508	3200940	3201452	hypothetical protein	sll0508	sll0508
ssr3122	ssr3122	554289	554546	BolA family transcriptional regulator	ssr3122	ssr3122
slr0445	slr0445	2095034	2095666	Uma2 family endonuclease	slr0445	slr0445
sll0816	sll0816	1693546	1694661	Gfo/Idh/MocA family oxidoreductase	sll0816 // miaA	sll0816 // sll0817
sll1765	sll1765	1231207	1231686	hypothetical protein	sll1765 // grrM	sll1765 // sll1766
slr1712	slr1712	1454902	1455708	Rpn family recombination-promoting nuclease/putative transposase	slr1712 // SGL_RS19510 // slr2004	slr1712 // SGL_RS19510 // slr2004
slr0104	slr0104	2973268	2975703	HD family phosphohydrolase	slr0104	slr0104
sll1371	sll1371	1844568	1845266	Crp/Fnr family transcriptional regulator	sll1371	sll1371
SGL_RS18835	SGL_RS18835	1561693	1562423	IS1 family transposase	SGL_RS18835	SGL_RS18835
cbbS	slr0012	2480477	2480818	ribulose bisphosphate carboxylase small subunit	cbbS // slr0011	slr0012 // slr0011
sll0686	sll0686	2635219	2636046	cytochrome c biogenesis protein CcdA	sll0686 // sll0687 // sll0688	sll0686 // sll0687 // sll0688
sll1251	sll1251	1739130	1740020	tetratricopeptide repeat protein	sll1251	sll1251
menC	sll0409	2547067	2548029	o-succinylbenzoate synthase	menC // sll0410	sll0409 // sll0410
sll1166	sll1166	1887159	1888262	AI-2E family transporter	sll1166	sll1166
slr1101	slr1101	197072	197557	universal stress protein	slr1101	slr1101
sll1927	sll1927	742780	744732	ABC transporter ATP-binding protein	sll1927	sll1927
sll0804	sll0804	1716932	1718293	DUF697 domain-containing protein	sll0802 // sll0803 // sll0804	sll0802 // sll0803 // sll0804
accD	sll0336	2372249	2373229	acetyl-CoA carboxylase, carboxyltransferase subunit beta	accD	sll0336
dapF	slr1665	3471003	3471842	diaminopimelate epimerase	dapF	slr1665
acsF	sll1214	3192	4268	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase	acsF	sll1214
cysS	slr0958	2026675	2028126	cysteine--tRNA ligase	cysS	slr0958
slr1273	slr1273	1865033	1865473	hypothetical protein	slr1273 // slr1272	slr1273 // slr1272
ST6803t30	ST6803t30	2490057	2490127	tRNA-Gly	ST6803t30	ST6803t30
