,gene_id,database,kegg_id
117,SGL_RS02580,KEGG_orth,-
122,SGL_RS02605,KEGG_orth,-
124,SGL_RS02615,KEGG_orth,-
125,SGL_RS19540,KEGG_orth,-
126,SGL_RS02620,KEGG_orth,-
129,SGL_RS02635,KEGG_orth,-
130,SGL_RS02645,KEGG_orth,-
132,SGL_RS02660,KEGG_orth,-
142,SGL_RS02710,KEGG_orth,-
143,SGL_RS02715,KEGG_orth,-
144,SGL_RS02720,KEGG_orth,-
147,SGL_RS02735,KEGG_orth,-
148,SGL_RS02740,KEGG_orth,-
152,SGL_RS02765,KEGG_orth,-
153,SGL_RS02770,KEGG_orth,-
154,SGL_RS02775,KEGG_orth,-
156,SGL_RS02785,KEGG_orth,-
157,SGL_RS02790,KEGG_orth,-
159,SGL_RS02800,KEGG_orth,-
160,SGL_RS02805,KEGG_orth,-
161,SGL_RS02810,KEGG_orth,-
162,SGL_RS02815,KEGG_orth,-
163,SGL_RS02820,KEGG_orth,-
166,SGL_RS02840,KEGG_orth,-
167,SGL_RS02845,KEGG_orth,-
169,SGL_RS02855,KEGG_orth,-
170,SGL_RS02860,KEGG_orth,-
178,SGL_RS02900,KEGG_orth,-
179,SGL_RS02905,KEGG_orth,-
180,SGL_RS02915,KEGG_orth,-
181,SGL_RS19550,KEGG_orth,-
182,SGL_RS02920,KEGG_orth,-
183,SGL_RS02925,KEGG_orth,-
184,SGL_RS02930,KEGG_orth,-
185,SGL_RS02935,KEGG_orth,-
187,SGL_RS02955,KEGG_orth,-
190,SGL_RS02970,KEGG_orth,-
191,SGL_RS02975,KEGG_orth,-
193,SGL_RS02985,KEGG_orth,-
194,SGL_RS02990,KEGG_orth,-
201,SGL_RS03025,KEGG_orth,-
202,SGL_RS03040,KEGG_orth,-
209,SGL_RS03085,KEGG_orth,-
210,SGL_RS03090,KEGG_orth,-
212,SGL_RS03100,KEGG_orth,-
213,SGL_RS03105,KEGG_orth,-
214,SGL_RS03110,KEGG_orth,-
215,SGL_RS03115,KEGG_orth,-
216,SGL_RS03120,KEGG_orth,-
217,SGL_RS03125,KEGG_orth,-
218,SGL_RS03130,KEGG_orth,-
220,SGL_RS03145,KEGG_orth,-
221,SGL_RS03155,KEGG_orth,-
223,SGL_RS03165,KEGG_orth,-
224,SGL_RS03170,KEGG_orth,-
225,SGL_RS03175,KEGG_orth,-
226,SGL_RS03180,KEGG_orth,-
228,SGL_RS03190,KEGG_orth,-
231,SGL_RS03215,KEGG_orth,-
232,SGL_RS03220,KEGG_orth,-
234,SGL_RS03230,KEGG_orth,-
235,SGL_RS03235,KEGG_orth,-
239,SGL_RS19555,KEGG_orth,-
241,SGL_RS03260,KEGG_orth,-
243,SGL_RS03270,KEGG_orth,-
247,SGL_RS03290,KEGG_orth,-
248,SGL_RS03295,KEGG_orth,-
249,SGL_RS03300,KEGG_orth,-
250,SGL_RS03305,KEGG_orth,-
251,SGL_RS03310,KEGG_orth,-
253,SGL_RS03320,KEGG_orth,-
257,SGL_RS03340,KEGG_orth,-
260,SGL_RS03355,KEGG_orth,-
262,SGL_RS03365,KEGG_orth,-
263,SGL_RS03375,KEGG_orth,-
268,SGL_RS03400,KEGG_orth,-
269,SGL_RS03405,KEGG_orth,-
270,SGL_RS03410,KEGG_orth,-
271,SGL_RS03415,KEGG_orth,-
274,SGL_RS03430,KEGG_orth,-
276,SGL_RS03440,KEGG_orth,-
279,SGL_RS03455,KEGG_orth,-
280,SGL_RS03460,KEGG_orth,-
284,SGL_RS03480,KEGG_orth,-
286,SGL_RS03490,KEGG_orth,-
287,SGL_RS03495,KEGG_orth,-
288,SGL_RS03505,KEGG_orth,-
289,SGL_RS03515,KEGG_orth,-
291,SGL_RS03535,KEGG_orth,-
296,SGL_RS03560,KEGG_orth,-
297,SGL_RS03570,KEGG_orth,-
298,SGL_RS03575,KEGG_orth,-
299,SGL_RS03580,KEGG_orth,-
301,SGL_RS03605,KEGG_orth,-
303,SGL_RS03660,KEGG_orth,-
306,SGL_RS03685,KEGG_orth,-
307,SGL_RS03690,KEGG_orth,-
308,SGL_RS03695,KEGG_orth,-
310,SGL_RS03725,KEGG_orth,-
311,SGL_RS03735,KEGG_orth,-
313,SGL_RS03745,KEGG_orth,-
314,SGL_RS03750,KEGG_orth,-
315,SGL_RS03755,KEGG_orth,-
316,SGL_RS03760,KEGG_orth,-
319,SGL_RS03775,KEGG_orth,-
320,SGL_RS03780,KEGG_orth,-
321,SGL_RS03785,KEGG_orth,-
323,SGL_RS19170,KEGG_orth,-
327,SGL_RS03815,KEGG_orth,-
328,SGL_RS03820,KEGG_orth,-
329,SGL_RS03830,KEGG_orth,-
334,SGL_RS19775,KEGG_orth,-
338,SGL_RS03885,KEGG_orth,-
339,SGL_RS03890,KEGG_orth,-
340,SGL_RS03895,KEGG_orth,-
342,SGL_RS03905,KEGG_orth,-
343,SGL_RS03910,KEGG_orth,-
346,SGL_RS03925,KEGG_orth,-
347,SGL_RS03930,KEGG_orth,-
348,SGL_RS03935,KEGG_orth,-
349,SGL_RS03940,KEGG_orth,-
350,SGL_RS03945,KEGG_orth,-
351,SGL_RS03950,KEGG_orth,-
352,SGL_RS03955,KEGG_orth,-
353,SGL_RS03960,KEGG_orth,-
354,SGL_RS03965,KEGG_orth,-
357,SGL_RS03985,KEGG_orth,-
358,SGL_RS03990,KEGG_orth,-
359,SGL_RS03995,KEGG_orth,-
361,SGL_RS04005,KEGG_orth,-
363,SGL_RS04015,KEGG_orth,-
364,SGL_RS04020,KEGG_orth,-
365,SGL_RS04025,KEGG_orth,-
366,SGL_RS04030,KEGG_orth,-
367,SGL_RS04035,KEGG_orth,-
369,SGL_RS04050,KEGG_orth,-
370,SGL_RS04055,KEGG_orth,-
372,SGL_RS04065,KEGG_orth,-
373,SGL_RS04070,KEGG_orth,-
374,SGL_RS04075,KEGG_orth,-
375,SGL_RS04080,KEGG_orth,-
376,SGL_RS04085,KEGG_orth,-
377,SGL_RS04095,KEGG_orth,-
379,SGL_RS04105,KEGG_orth,-
380,SGL_RS04110,KEGG_orth,-
384,SGL_RS04140,KEGG_orth,-
385,SGL_RS04145,KEGG_orth,-
387,SGL_RS04155,KEGG_orth,-
391,SGL_RS04185,KEGG_orth,-
399,SGL_RS04225,KEGG_orth,-
401,SGL_RS04235,KEGG_orth,-
405,SGL_RS04255,KEGG_orth,-
406,SGL_RS04260,KEGG_orth,-
407,SGL_RS04265,KEGG_orth,-
409,SGL_RS04285,KEGG_orth,-
412,SGL_RS04300,KEGG_orth,-
416,SGL_RS04320,KEGG_orth,-
417,SGL_RS04325,KEGG_orth,-
421,SGL_RS04345,KEGG_orth,-
422,SGL_RS04350,KEGG_orth,-
423,SGL_RS04355,KEGG_orth,-
426,SGL_RS04370,KEGG_orth,-
429,SGL_RS04390,KEGG_orth,-
430,SGL_RS04395,KEGG_orth,-
431,SGL_RS04400,KEGG_orth,-
433,SGL_RS04410,KEGG_orth,-
434,SGL_RS04415,KEGG_orth,-
435,SGL_RS04420,KEGG_orth,-
436,SGL_RS04425,KEGG_orth,-
440,SGL_RS04445,KEGG_orth,-
441,SGL_RS04450,KEGG_orth,-
445,SGL_RS04470,KEGG_orth,-
446,SGL_RS04475,KEGG_orth,-
448,SGL_RS04490,KEGG_orth,-
449,SGL_RS04505,KEGG_orth,-
450,SGL_RS04510,KEGG_orth,-
452,SGL_RS04520,KEGG_orth,-
453,SGL_RS04525,KEGG_orth,-
459,SGL_RS04565,KEGG_orth,-
460,SGL_RS04570,KEGG_orth,-
461,SGL_RS04575,KEGG_orth,-
463,SGL_RS04585,KEGG_orth,-
465,SGL_RS04595,KEGG_orth,-
466,SGL_RS04600,KEGG_orth,-
467,SGL_RS04605,KEGG_orth,-
468,SGL_RS04610,KEGG_orth,-
473,SGL_RS04640,KEGG_orth,-
475,SGL_RS04650,KEGG_orth,-
476,SGL_RS04655,KEGG_orth,-
478,SGL_RS04665,KEGG_orth,-
479,SGL_RS04670,KEGG_orth,-
480,SGL_RS04675,KEGG_orth,-
487,SGL_RS04710,KEGG_orth,-
488,SGL_RS04715,KEGG_orth,-
489,SGL_RS04720,KEGG_orth,-
490,SGL_RS04725,KEGG_orth,-
492,SGL_RS04735,KEGG_orth,-
493,SGL_RS04740,KEGG_orth,-
494,SGL_RS04745,KEGG_orth,-
495,SGL_RS04750,KEGG_orth,-
496,SGL_RS04755,KEGG_orth,-
497,SGL_RS04760,KEGG_orth,-
498,SGL_RS04765,KEGG_orth,-
499,SGL_RS04770,KEGG_orth,-
500,SGL_RS04775,KEGG_orth,-
501,SGL_RS04780,KEGG_orth,-
502,SGL_RS04785,KEGG_orth,-
504,SGL_RS04795,KEGG_orth,-
506,SGL_RS04805,KEGG_orth,-
507,SGL_RS04810,KEGG_orth,-
508,SGL_RS04820,KEGG_orth,-
509,SGL_RS04825,KEGG_orth,-
511,SGL_RS04840,KEGG_orth,-
514,SGL_RS04855,KEGG_orth,-
515,SGL_RS04860,KEGG_orth,-
516,SGL_RS04865,KEGG_orth,-
520,SGL_RS04885,KEGG_orth,-
521,SGL_RS04890,KEGG_orth,-
526,SGL_RS04925,KEGG_orth,-
528,SGL_RS04940,KEGG_orth,-
529,SGL_RS04945,KEGG_orth,-
531,SGL_RS04960,KEGG_orth,-
532,SGL_RS04965,KEGG_orth,-
533,SGL_RS04970,KEGG_orth,-
534,SGL_RS04975,KEGG_orth,-
535,SGL_RS04980,KEGG_orth,-
536,SGL_RS04985,KEGG_orth,-
537,SGL_RS04990,KEGG_orth,-
538,SGL_RS04995,KEGG_orth,-
540,SGL_RS05005,KEGG_orth,-
546,SGL_RS05040,KEGG_orth,-
547,SGL_RS05050,KEGG_orth,-
548,SGL_RS05055,KEGG_orth,-
549,SGL_RS05060,KEGG_orth,-
550,SGL_RS05065,KEGG_orth,-
551,SGL_RS05070,KEGG_orth,-
558,SGL_RS05105,KEGG_orth,-
560,SGL_RS05115,KEGG_orth,-
561,SGL_RS05135,KEGG_orth,-
563,SGL_RS05150,KEGG_orth,-
564,SGL_RS05155,KEGG_orth,-
568,SGL_RS05190,KEGG_orth,-
569,SGL_RS05195,KEGG_orth,-
570,SGL_RS05200,KEGG_orth,-
571,SGL_RS05205,KEGG_orth,-
573,SGL_RS05215,KEGG_orth,-
574,SGL_RS05220,KEGG_orth,-
581,SGL_RS05255,KEGG_orth,-
582,SGL_RS05260,KEGG_orth,-
584,SGL_RS05280,KEGG_orth,-
588,SGL_RS05300,KEGG_orth,-
590,SGL_RS05310,KEGG_orth,-
591,SGL_RS05315,KEGG_orth,-
592,SGL_RS05320,KEGG_orth,-
593,SGL_RS05325,KEGG_orth,-
596,SGL_RS05335,KEGG_orth,-
597,SGL_RS05340,KEGG_orth,-
598,SGL_RS05345,KEGG_orth,-
608,SGL_RS05395,KEGG_orth,-
610,SGL_RS05405,KEGG_orth,-
611,SGL_RS05410,KEGG_orth,-
612,SGL_RS05415,KEGG_orth,-
613,SGL_RS05420,KEGG_orth,-
615,SGL_RS05430,KEGG_orth,-
618,SGL_RS05445,KEGG_orth,-
619,SGL_RS05450,KEGG_orth,-
620,SGL_RS05455,KEGG_orth,-
622,SGL_RS05465,KEGG_orth,-
624,SGL_RS05475,KEGG_orth,-
625,SGL_RS05480,KEGG_orth,-
626,SGL_RS05485,KEGG_orth,-
627,SGL_RS05495,KEGG_orth,-
629,SGL_RS05505,KEGG_orth,-
633,SGL_RS05535,KEGG_orth,-
638,SGL_RS05560,KEGG_orth,-
645,SGL_RS05595,KEGG_orth,-
649,SGL_RS18710,KEGG_orth,-
650,SGL_RS05630,KEGG_orth,-
652,SGL_RS05645,KEGG_orth,-
653,SGL_RS05650,KEGG_orth,-
654,SGL_RS05655,KEGG_orth,-
658,SGL_RS05675,KEGG_orth,-
659,SGL_RS05680,KEGG_orth,-
694,SGL_RS05865,KEGG_orth,-
695,SGL_RS05870,KEGG_orth,-
700,SGL_RS05895,KEGG_orth,-
706,SGL_RS05945,KEGG_orth,-
707,SGL_RS05950,KEGG_orth,-
710,SGL_RS05965,KEGG_orth,-
711,SGL_RS05970,KEGG_orth,-
712,SGL_RS05975,KEGG_orth,-
713,SGL_RS05980,KEGG_orth,-
715,SGL_RS05990,KEGG_orth,-
716,SGL_RS05995,KEGG_orth,-
717,SGL_RS06000,KEGG_orth,-
722,SGL_RS06025,KEGG_orth,-
723,SGL_RS06030,KEGG_orth,-
724,SGL_RS06035,KEGG_orth,-
725,SGL_RS06040,KEGG_orth,-
727,SGL_RS06050,KEGG_orth,-
728,SGL_RS06055,KEGG_orth,-
729,SGL_RS06060,KEGG_orth,-
730,SGL_RS06065,KEGG_orth,-
732,SGL_RS06075,KEGG_orth,-
733,SGL_RS06080,KEGG_orth,-
735,SGL_RS06090,KEGG_orth,-
738,SGL_RS06110,KEGG_orth,-
739,SGL_RS06115,KEGG_orth,-
740,SGL_RS06120,KEGG_orth,-
742,SGL_RS06130,KEGG_orth,-
750,SGL_RS06175,KEGG_orth,-
751,SGL_RS19800,KEGG_orth,-
760,SGL_RS06235,KEGG_orth,-
761,SGL_RS06240,KEGG_orth,-
762,SGL_RS06245,KEGG_orth,-
763,SGL_RS06250,KEGG_orth,-
764,SGL_RS06255,KEGG_orth,-
766,SGL_RS06265,KEGG_orth,-
768,SGL_RS06275,KEGG_orth,-
769,SGL_RS06280,KEGG_orth,-
770,SGL_RS06285,KEGG_orth,-
775,SGL_RS06315,KEGG_orth,-
777,SGL_RS06325,KEGG_orth,-
778,SGL_RS06330,KEGG_orth,-
779,SGL_RS06335,KEGG_orth,-
782,SGL_RS06350,KEGG_orth,-
783,SGL_RS06355,KEGG_orth,-
785,SGL_RS06365,KEGG_orth,-
789,SGL_RS06395,KEGG_orth,-
790,SGL_RS06405,KEGG_orth,-
792,SGL_RS06415,KEGG_orth,-
793,SGL_RS06420,KEGG_orth,-
795,SGL_RS06430,KEGG_orth,-
797,SGL_RS06440,KEGG_orth,-
801,SGL_RS06470,KEGG_orth,-
802,SGL_RS06475,KEGG_orth,-
804,SGL_RS06485,KEGG_orth,-
806,SGL_RS06500,KEGG_orth,-
808,SGL_RS06510,KEGG_orth,-
811,SGL_RS06525,KEGG_orth,-
814,SGL_RS06540,KEGG_orth,-
816,SGL_RS06550,KEGG_orth,-
817,SGL_RS06555,KEGG_orth,-
818,SGL_RS06560,KEGG_orth,-
819,SGL_RS06565,KEGG_orth,-
825,SGL_RS06600,KEGG_orth,-
827,SGL_RS06610,KEGG_orth,-
831,SGL_RS06630,KEGG_orth,-
833,SGL_RS06640,KEGG_orth,-
835,SGL_RS06650,KEGG_orth,-
840,SGL_RS06680,KEGG_orth,-
841,SGL_RS06685,KEGG_orth,-
846,SGL_RS06720,KEGG_orth,-
847,SGL_RS06725,KEGG_orth,-
849,SGL_RS06735,KEGG_orth,-
851,SGL_RS06745,KEGG_orth,-
854,SGL_RS06760,KEGG_orth,-
855,SGL_RS06765,KEGG_orth,-
858,SGL_RS06780,KEGG_orth,-
859,SGL_RS06785,KEGG_orth,-
860,SGL_RS06790,KEGG_orth,-
863,SGL_RS06805,KEGG_orth,-
866,SGL_RS06820,KEGG_orth,-
867,SGL_RS06835,KEGG_orth,-
870,SGL_RS06850,KEGG_orth,-
871,SGL_RS06855,KEGG_orth,-
872,SGL_RS06860,KEGG_orth,-
874,SGL_RS06870,KEGG_orth,-
877,SGL_RS06885,KEGG_orth,-
880,SGL_RS06900,KEGG_orth,-
881,SGL_RS06905,KEGG_orth,-
882,SGL_RS06915,KEGG_orth,-
883,SGL_RS06920,KEGG_orth,-
884,SGL_RS06925,KEGG_orth,-
886,SGL_RS06945,KEGG_orth,-
887,SGL_RS06950,KEGG_orth,-
890,SGL_RS06965,KEGG_orth,-
891,SGL_RS06970,KEGG_orth,-
896,SGL_RS18755,KEGG_orth,-
902,SGL_RS07040,KEGG_orth,-
903,SGL_RS07045,KEGG_orth,-
904,SGL_RS07050,KEGG_orth,-
908,SGL_RS07085,KEGG_orth,-
910,SGL_RS07095,KEGG_orth,-
914,SGL_RS07120,KEGG_orth,-
915,SGL_RS07125,KEGG_orth,-
916,SGL_RS07130,KEGG_orth,-
919,SGL_RS07145,KEGG_orth,-
921,SGL_RS07155,KEGG_orth,-
923,SGL_RS07165,KEGG_orth,-
925,SGL_RS07175,KEGG_orth,-
927,SGL_RS18765,KEGG_orth,-
928,SGL_RS07185,KEGG_orth,-
929,SGL_RS19815,KEGG_orth,-
931,SGL_RS07200,KEGG_orth,-
932,SGL_RS07205,KEGG_orth,-
939,SGL_RS07260,KEGG_orth,-
940,SGL_RS07265,KEGG_orth,-
941,SGL_RS07270,KEGG_orth,-
942,SGL_RS07275,KEGG_orth,-
945,SGL_RS07290,KEGG_orth,-
946,SGL_RS07295,KEGG_orth,-
947,SGL_RS07300,KEGG_orth,-
949,SGL_RS07310,KEGG_orth,-
955,SGL_RS07335,KEGG_orth,-
956,SGL_RS07340,KEGG_orth,-
957,SGL_RS07350,KEGG_orth,-
958,SGL_RS07355,KEGG_orth,-
959,SGL_RS07360,KEGG_orth,-
960,SGL_RS07365,KEGG_orth,-
961,SGL_RS07370,KEGG_orth,-
962,SGL_RS07375,KEGG_orth,-
963,SGL_RS07380,KEGG_orth,-
964,SGL_RS07385,KEGG_orth,-
966,SGL_RS07395,KEGG_orth,-
967,SGL_RS07400,KEGG_orth,-
968,SGL_RS07405,KEGG_orth,-
969,SGL_RS07410,KEGG_orth,-
971,SGL_RS07420,KEGG_orth,-
972,SGL_RS07425,KEGG_orth,-
975,SGL_RS07440,KEGG_orth,-
977,SGL_RS07450,KEGG_orth,-
978,SGL_RS07465,KEGG_orth,-
984,SGL_RS07505,KEGG_orth,-
985,SGL_RS07520,KEGG_orth,-
987,SGL_RS07535,KEGG_orth,-
990,SGL_RS07550,KEGG_orth,-
991,SGL_RS07560,KEGG_orth,-
992,SGL_RS07565,KEGG_orth,-
993,SGL_RS19580,KEGG_orth,-
996,SGL_RS07580,KEGG_orth,-
998,SGL_RS07590,KEGG_orth,-
1000,SGL_RS07600,KEGG_orth,-
1003,SGL_RS07615,KEGG_orth,-
1004,SGL_RS07620,KEGG_orth,-
1005,SGL_RS07625,KEGG_orth,-
1008,SGL_RS07640,KEGG_orth,-
1010,SGL_RS07650,KEGG_orth,-
1012,SGL_RS07660,KEGG_orth,-
1015,SGL_RS07675,KEGG_orth,-
1016,SGL_RS07680,KEGG_orth,-
1017,SGL_RS07685,KEGG_orth,-
1019,SGL_RS19585,KEGG_orth,-
1020,SGL_RS07695,KEGG_orth,-
1022,SGL_RS07705,KEGG_orth,-
1024,SGL_RS07715,KEGG_orth,-
1027,SGL_RS07735,KEGG_orth,-
1031,SGL_RS07760,KEGG_orth,-
1032,SGL_RS07765,KEGG_orth,-
1035,SGL_RS07780,KEGG_orth,-
1037,SGL_RS07795,KEGG_orth,-
1040,SGL_RS07810,KEGG_orth,-
1042,SGL_RS07820,KEGG_orth,-
1043,SGL_RS07825,KEGG_orth,-
1046,SGL_RS07845,KEGG_orth,-
1047,SGL_RS07850,KEGG_orth,-
1048,SGL_RS07855,KEGG_orth,-
1049,SGL_RS07860,KEGG_orth,-
1051,SGL_RS07870,KEGG_orth,-
1052,SGL_RS07875,KEGG_orth,-
1055,SGL_RS07895,KEGG_orth,-
1056,SGL_RS07900,KEGG_orth,-
1057,SGL_RS07905,KEGG_orth,-
1058,SGL_RS07910,KEGG_orth,-
1059,SGL_RS07915,KEGG_orth,-
1060,SGL_RS07920,KEGG_orth,-
1061,SGL_RS07925,KEGG_orth,-
1062,SGL_RS07930,KEGG_orth,-
1063,SGL_RS07935,KEGG_orth,-
1064,SGL_RS07940,KEGG_orth,-
1065,SGL_RS07945,KEGG_orth,-
1066,SGL_RS07950,KEGG_orth,-
1067,SGL_RS07960,KEGG_orth,-
1068,SGL_RS07965,KEGG_orth,-
1069,SGL_RS07970,KEGG_orth,-
1070,SGL_RS07975,KEGG_orth,-
1072,SGL_RS07985,KEGG_orth,-
1073,SGL_RS07990,KEGG_orth,-
1074,SGL_RS07995,KEGG_orth,-
1076,SGL_RS08005,KEGG_orth,-
1078,SGL_RS08015,KEGG_orth,-
1080,SGL_RS08025,KEGG_orth,-
1081,SGL_RS08030,KEGG_orth,-
1089,SGL_RS08075,KEGG_orth,-
1091,SGL_RS08085,KEGG_orth,-
1094,SGL_RS08105,KEGG_orth,-
1099,SGL_RS08130,KEGG_orth,-
1101,SGL_RS08140,KEGG_orth,-
1104,SGL_RS08155,KEGG_orth,-
1105,SGL_RS08160,KEGG_orth,-
1108,SGL_RS08175,KEGG_orth,-
1109,SGL_RS08180,KEGG_orth,-
1116,SGL_RS08225,KEGG_orth,-
1122,SGL_RS08260,KEGG_orth,-
1123,SGL_RS08265,KEGG_orth,-
1125,SGL_RS08275,KEGG_orth,-
1126,SGL_RS19850,KEGG_orth,-
1128,SGL_RS08290,KEGG_orth,-
1129,SGL_RS08310,KEGG_orth,-
1131,SGL_RS08325,KEGG_orth,-
1132,SGL_RS08330,KEGG_orth,-
1133,SGL_RS08335,KEGG_orth,-
1134,SGL_RS08345,KEGG_orth,-
1135,SGL_RS08350,KEGG_orth,-
1136,SGL_RS08355,KEGG_orth,-
1137,SGL_RS08360,KEGG_orth,-
1138,SGL_RS08380,KEGG_orth,-
1139,SGL_RS08385,KEGG_orth,-
1144,SGL_RS08410,KEGG_orth,-
1146,SGL_RS08420,KEGG_orth,-
1147,SGL_RS08425,KEGG_orth,-
1149,SGL_RS08435,KEGG_orth,-
1152,SGL_RS08450,KEGG_orth,-
1154,SGL_RS08465,KEGG_orth,-
1155,SGL_RS08475,KEGG_orth,-
1156,SGL_RS08480,KEGG_orth,-
1157,SGL_RS08485,KEGG_orth,-
1159,SGL_RS08495,KEGG_orth,-
1161,SGL_RS08505,KEGG_orth,-
1162,SGL_RS08510,KEGG_orth,-
1164,SGL_RS08520,KEGG_orth,-
1167,SGL_RS08535,KEGG_orth,-
1168,SGL_RS08540,KEGG_orth,-
1169,SGL_RS08545,KEGG_orth,-
1171,SGL_RS08565,KEGG_orth,-
1172,SGL_RS08570,KEGG_orth,-
1173,SGL_RS08575,KEGG_orth,-
1179,SGL_RS08605,KEGG_orth,-
1186,SGL_RS08640,KEGG_orth,-
1187,SGL_RS08650,KEGG_orth,-
1190,SGL_RS08665,KEGG_orth,-
1192,SGL_RS08675,KEGG_orth,-
1193,SGL_RS08680,KEGG_orth,-
1194,SGL_RS08690,KEGG_orth,-
1196,SGL_RS08700,KEGG_orth,-
1197,SGL_RS08705,KEGG_orth,-
1199,SGL_RS08715,KEGG_orth,-
1201,SGL_RS08730,KEGG_orth,-
1202,SGL_RS08735,KEGG_orth,-
1203,SGL_RS18815,KEGG_orth,-
1205,SGL_RS08750,KEGG_orth,-
1208,SGL_RS08770,KEGG_orth,-
1210,SGL_RS08780,KEGG_orth,-
1213,SGL_RS08800,KEGG_orth,-
1218,SGL_RS08840,KEGG_orth,-
1221,SGL_RS08855,KEGG_orth,-
1229,SGL_RS08900,KEGG_orth,-
1231,SGL_RS08910,KEGG_orth,-
1232,SGL_RS08915,KEGG_orth,-
1234,SGL_RS08925,KEGG_orth,-
1235,SGL_RS08930,KEGG_orth,-
1238,SGL_RS08950,KEGG_orth,-
1239,SGL_RS08955,KEGG_orth,-
1241,SGL_RS08965,KEGG_orth,-
1245,SGL_RS08985,KEGG_orth,-
1246,SGL_RS08990,KEGG_orth,-
1247,SGL_RS08995,KEGG_orth,-
1248,SGL_RS09000,KEGG_orth,-
1250,SGL_RS09055,KEGG_orth,-
1252,SGL_RS09065,KEGG_orth,-
1253,SGL_RS18825,KEGG_orth,-
1257,SGL_RS09085,KEGG_orth,-
1264,SGL_RS09140,KEGG_orth,-
1265,SGL_RS09145,KEGG_orth,-
1267,SGL_RS09155,KEGG_orth,-
1268,SGL_RS09160,KEGG_orth,-
1269,SGL_RS09165,KEGG_orth,-
1272,SGL_RS09205,KEGG_orth,-
1274,SGL_RS09215,KEGG_orth,-
1276,SGL_RS09230,KEGG_orth,-
1280,SGL_RS09260,KEGG_orth,-
1281,SGL_RS09265,KEGG_orth,-
1283,SGL_RS09275,KEGG_orth,-
1284,SGL_RS09280,KEGG_orth,-
1286,SGL_RS09290,KEGG_orth,-
1287,SGL_RS09295,KEGG_orth,-
1288,SGL_RS09305,KEGG_orth,-
1289,SGL_RS09310,KEGG_orth,-
1295,SGL_RS09340,KEGG_orth,-
1297,SGL_RS09350,KEGG_orth,-
1298,SGL_RS19595,KEGG_orth,-
1300,SGL_RS09365,KEGG_orth,-
1303,SGL_RS09380,KEGG_orth,-
1305,SGL_RS09390,KEGG_orth,-
1308,SGL_RS09405,KEGG_orth,-
1314,SGL_RS09570,KEGG_orth,-
1317,SGL_RS09605,KEGG_orth,-
1318,SGL_RS09620,KEGG_orth,-
1319,SGL_RS09625,KEGG_orth,-
1320,SGL_RS09630,KEGG_orth,-
1323,SGL_RS09645,KEGG_orth,-
1324,SGL_RS09650,KEGG_orth,-
1325,SGL_RS09655,KEGG_orth,-
1329,SGL_RS09680,KEGG_orth,-
1330,SGL_RS09685,KEGG_orth,-
1331,SGL_RS09690,KEGG_orth,-
1339,SGL_RS09730,KEGG_orth,-
1342,SGL_RS09750,KEGG_orth,-
1345,SGL_RS09775,KEGG_orth,-
1346,SGL_RS09780,KEGG_orth,-
1347,SGL_RS09785,KEGG_orth,-
1348,SGL_RS09790,KEGG_orth,-
1350,SGL_RS09800,KEGG_orth,-
1356,SGL_RS09830,KEGG_orth,-
1358,SGL_RS09840,KEGG_orth,-
1360,SGL_RS09850,KEGG_orth,-
1361,SGL_RS09860,KEGG_orth,-
1365,SGL_RS09880,KEGG_orth,-
