# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "0" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "DRX114946_cds.txt" "DRX114946.bam" 
Geneid	Chr	Start	End	Strand	Length	DRX114946.bam
SYNPCC7002_RS14455	NC_010478.1	29300	29695	-	396	511
SYNPCC7002_RS14460	NC_010478.1	29696	29914	-	219	209
SYNPCC7002_RS14465	NC_010478.1	29931	30239	-	309	494
SYNPCC7002_RS14470	NC_010478.1	30423	31307	-	885	339
SYNPCC7002_RS16785	NC_010478.1	31377	31742	-	366	67
SYNPCC7002_RS00010	NC_010475.1	1	1350	+	1350	337
SYNPCC7002_RS00015	NC_010475.1	1424	2353	+	930	808
SYNPCC7002_RS00025	NC_010475.1	2832	3110	-	279	216
SYNPCC7002_RS00030	NC_010475.1	3152	3406	-	255	213
SYNPCC7002_RS00035	NC_010475.1	3441	4133	-	693	73
SYNPCC7002_RS00040	NC_010475.1	4152	4796	-	645	464
SYNPCC7002_RS00045	NC_010475.1	4889	5230	-	342	270
SYNPCC7002_RS00050	NC_010475.1	5271	5630	-	360	200
SYNPCC7002_RS00055	NC_010475.1	5742	6824	+	1083	447
SYNPCC7002_RS00060	NC_010475.1	7044	7613	+	570	1033
SYNPCC7002_RS16035	NC_010475.1	7646	8308	+	663	1201
SYNPCC7002_RS00070	NC_010475.1	8305	9621	+	1317	2172
SYNPCC7002_RS00075	NC_010475.1	9729	10484	+	756	1576
SYNPCC7002_RS00080	NC_010475.1	10504	11418	+	915	1122
SYNPCC7002_RS00085	NC_010475.1	11402	11782	-	381	242
SYNPCC7002_RS00090	NC_010475.1	11850	12152	-	303	175
SYNPCC7002_RS00095	NC_010475.1	12398	12628	+	231	253
SYNPCC7002_RS00100	NC_010475.1	12655	14193	+	1539	551
SYNPCC7002_RS00105	NC_010475.1	14203	14742	+	540	155
SYNPCC7002_RS00110	NC_010475.1	14914	15801	-	888	1733
SYNPCC7002_RS00115	NC_010475.1	15864	20024	-	4161	1024
SYNPCC7002_RS00120	NC_010475.1	20106	20954	+	849	666
SYNPCC7002_RS00125	NC_010475.1	21211	22140	+	930	10232
SYNPCC7002_RS00130	NC_010475.1	22367	23170	+	804	1553
SYNPCC7002_RS00135	NC_010475.1	23167	24519	-	1353	742
SYNPCC7002_RS00140	NC_010475.1	24806	25246	+	441	145
SYNPCC7002_RS00145	NC_010475.1	25340	26419	+	1080	1042
SYNPCC7002_RS00150	NC_010475.1	26445	27062	-	618	251
SYNPCC7002_RS00155	NC_010475.1	27194	28225	+	1032	347
SYNPCC7002_RS00160	NC_010475.1	28366	28854	+	489	5792
SYNPCC7002_RS00165	NC_010475.1	29424	30743	-	1320	1488
SYNPCC7002_RS00170	NC_010475.1	30885	31730	-	846	463
SYNPCC7002_RS00175	NC_010475.1	31804	33420	-	1617	1008
SYNPCC7002_RS00180	NC_010475.1	33504	34478	-	975	264
SYNPCC7002_RS00185	NC_010475.1	34718	35728	+	1011	994
SYNPCC7002_RS00190	NC_010475.1	35772	36683	+	912	576
SYNPCC7002_RS00195	NC_010475.1	36701	37603	+	903	311
SYNPCC7002_RS00200	NC_010475.1	37587	38036	+	450	45
SYNPCC7002_RS00205	NC_010475.1	38116	39978	-	1863	39435
SYNPCC7002_RS00210	NC_010475.1	40120	45915	-	5796	5846
SYNPCC7002_RS00215	NC_010475.1	46222	46563	-	342	917
SYNPCC7002_RS00220	NC_010475.1	46832	48373	+	1542	1350
SYNPCC7002_RS00225	NC_010475.1	48397	49074	-	678	334
SYNPCC7002_RS00230	NC_010475.1	49554	50762	+	1209	891
SYNPCC7002_RS00235	NC_010475.1	50845	51207	+	363	326
SYNPCC7002_RS00240	NC_010475.1	51282	51773	+	492	489
SYNPCC7002_RS00245	NC_010475.1	51869	56263	+	4395	4467
SYNPCC7002_RS00250	NC_010475.1	56378	59512	+	3135	2474
SYNPCC7002_RS00255	NC_010475.1	59525	60178	-	654	4356
SYNPCC7002_RS00260	NC_010475.1	60296	60643	-	348	1191
SYNPCC7002_RS00265	NC_010475.1	60707	61204	-	498	826
SYNPCC7002_RS00270	NC_010475.1	61290	61847	-	558	1616
SYNPCC7002_RS00275	NC_010475.1	61952	62608	-	657	265
SYNPCC7002_RS00280	NC_010475.1	62605	63024	-	420	432
SYNPCC7002_RS00285	NC_010475.1	63031	63270	-	240	382
SYNPCC7002_RS00290	NC_010475.1	63367	64266	-	900	28839
SYNPCC7002_RS00295	NC_010475.1	64484	65443	-	960	1088
SYNPCC7002_RS00300	NC_010475.1	65470	65679	-	210	256
SYNPCC7002_RS00305	NC_010475.1	65831	66229	+	399	307
SYNPCC7002_RS00310	NC_010475.1	66337	67056	-	720	575
SYNPCC7002_RS00315	NC_010475.1	67152	67652	+	501	1659
SYNPCC7002_RS00320	NC_010475.1	67696	70698	+	3003	2949
SYNPCC7002_RS00325	NC_010475.1	70804	72312	+	1509	894
SYNPCC7002_RS00330	NC_010475.1	72394	72648	-	255	304
SYNPCC7002_RS00335	NC_010475.1	72686	74116	+	1431	1053
SYNPCC7002_RS00340	NC_010475.1	74161	74340	+	180	149
SYNPCC7002_RS00345	NC_010475.1	74343	75515	-	1173	516
SYNPCC7002_RS00350	NC_010475.1	75522	76319	-	798	350
SYNPCC7002_RS00355	NC_010475.1	76369	76836	-	468	315
SYNPCC7002_RS00360	NC_010475.1	76972	77229	-	258	123
SYNPCC7002_RS00365	NC_010475.1	77289	78125	-	837	416
SYNPCC7002_RS00370	NC_010475.1	78306	79598	-	1293	5090
SYNPCC7002_RS16605	NC_010475.1	79701	79904	-	204	135
SYNPCC7002_RS00375	NC_010475.1	79979	80374	+	396	779
SYNPCC7002_RS00380	NC_010475.1	80386	81978	+	1593	1439
SYNPCC7002_RS00385	NC_010475.1	82165	82413	+	249	635
SYNPCC7002_RS16340	NC_010475.1	82481	82723	+	243	429
SYNPCC7002_RS00390	NC_010475.1	82844	83233	-	390	22977
SYNPCC7002_RS00395	NC_010475.1	83336	83683	-	348	358
SYNPCC7002_RS17030	NC_010475.1	83787	84305	-	519	99
SYNPCC7002_RS17035	NC_010475.1	84224	84586	-	363	128
SYNPCC7002_RS00405	NC_010475.1	84600	84794	-	195	434
SYNPCC7002_RS00410	NC_010475.1	84870	85547	-	678	1619
SYNPCC7002_RS00415	NC_010475.1	85586	86875	-	1290	1700
SYNPCC7002_RS00420	NC_010475.1	86991	87764	+	774	203
SYNPCC7002_RS00425	NC_010475.1	87845	88510	+	666	345
SYNPCC7002_RS00430	NC_010475.1	88528	89505	-	978	819
SYNPCC7002_RS00435	NC_010475.1	89652	90917	+	1266	795
SYNPCC7002_RS00440	NC_010475.1	90933	91235	+	303	158
SYNPCC7002_RS00445	NC_010475.1	91267	91764	+	498	863
SYNPCC7002_RS00450	NC_010475.1	91804	92343	+	540	451
SYNPCC7002_RS00455	NC_010475.1	92387	93304	-	918	1031
SYNPCC7002_RS00460	NC_010475.1	93327	94130	-	804	1128
SYNPCC7002_RS00465	NC_010475.1	94161	94484	-	324	395
SYNPCC7002_RS00470	NC_010475.1	94538	95278	-	741	622
SYNPCC7002_RS17175	NC_010475.1	95308	95436	-	129	52
SYNPCC7002_RS00475	NC_010475.1	95582	96871	+	1290	11805
SYNPCC7002_RS00480	NC_010475.1	96991	97545	-	555	300
SYNPCC7002_RS00485	NC_010475.1	97815	98096	+	282	974
SYNPCC7002_RS00490	NC_010475.1	98278	99582	+	1305	1758
SYNPCC7002_RS00495	NC_010475.1	99746	100627	+	882	448
SYNPCC7002_RS00500	NC_010475.1	100631	101380	+	750	1016
SYNPCC7002_RS00510	NC_010475.1	101724	103730	+	2007	1123
SYNPCC7002_RS00515	NC_010475.1	103895	104227	-	333	2919
SYNPCC7002_RS00520	NC_010475.1	104356	105300	-	945	1509
SYNPCC7002_RS00525	NC_010475.1	105340	106806	-	1467	1976
SYNPCC7002_RS00530	NC_010475.1	107108	108124	+	1017	10327
SYNPCC7002_RS00535	NC_010475.1	108257	108601	-	345	3479
SYNPCC7002_RS00540	NC_010475.1	108852	109724	-	873	1403
SYNPCC7002_RS00545	NC_010475.1	109846	110373	+	528	404
SYNPCC7002_RS00550	NC_010475.1	110430	111740	+	1311	7076
SYNPCC7002_RS00555	NC_010475.1	111950	112462	-	513	2653
SYNPCC7002_RS00560	NC_010475.1	112709	113413	-	705	241
SYNPCC7002_RS00565	NC_010475.1	113548	114129	+	582	275
SYNPCC7002_RS00570	NC_010475.1	114276	116504	+	2229	4359
SYNPCC7002_RS00575	NC_010475.1	116526	117704	-	1179	753
SYNPCC7002_RS00580	NC_010475.1	118054	118548	+	495	1922
SYNPCC7002_RS00585	NC_010475.1	118649	119449	-	801	2537
SYNPCC7002_RS00590	NC_010475.1	119567	119926	+	360	2523
SYNPCC7002_RS00595	NC_010475.1	120060	121814	-	1755	7704
SYNPCC7002_RS00600	NC_010475.1	121880	123376	-	1497	15473
SYNPCC7002_RS00605	NC_010475.1	123484	124035	-	552	584
SYNPCC7002_RS00610	NC_010475.1	124239	125600	+	1362	4131
SYNPCC7002_RS00615	NC_010475.1	125648	126877	+	1230	1150
SYNPCC7002_RS00620	NC_010475.1	126983	127825	-	843	18929
SYNPCC7002_RS00625	NC_010475.1	128441	129100	-	660	297
SYNPCC7002_RS00630	NC_010475.1	129138	129524	-	387	99
SYNPCC7002_RS00635	NC_010475.1	129535	129978	-	444	86
SYNPCC7002_RS00640	NC_010475.1	130195	130581	+	387	1513
SYNPCC7002_RS00645	NC_010475.1	130653	131291	-	639	254
SYNPCC7002_RS00650	NC_010475.1	131288	131704	-	417	351
SYNPCC7002_RS00655	NC_010475.1	131704	131988	-	285	504
SYNPCC7002_RS00660	NC_010475.1	132167	133045	+	879	381
SYNPCC7002_RS00665	NC_010475.1	133052	134653	-	1602	537
SYNPCC7002_RS00670	NC_010475.1	134875	135063	+	189	1029
SYNPCC7002_RS00675	NC_010475.1	135206	135682	+	477	191
SYNPCC7002_RS00685	NC_010475.1	136055	138442	+	2388	1931
SYNPCC7002_RS00690	NC_010475.1	138439	139122	-	684	418
SYNPCC7002_RS00695	NC_010475.1	139328	139741	-	414	259
SYNPCC7002_RS00700	NC_010475.1	139947	142412	-	2466	62905
SYNPCC7002_RS00705	NC_010475.1	142542	142913	-	372	242
SYNPCC7002_RS00710	NC_010475.1	142940	143542	-	603	814
SYNPCC7002_RS00715	NC_010475.1	143821	145422	+	1602	1236
SYNPCC7002_RS00720	NC_010475.1	145445	146026	+	582	346
SYNPCC7002_RS00725	NC_010475.1	146083	147843	+	1761	927
SYNPCC7002_RS00730	NC_010475.1	148056	149723	+	1668	14392
SYNPCC7002_RS16040	NC_010475.1	149816	153046	-	3231	745
SYNPCC7002_RS00740	NC_010475.1	153399	154799	-	1401	290
SYNPCC7002_RS00745	NC_010475.1	154890	156641	-	1752	286
SYNPCC7002_RS00750	NC_010475.1	156915	158534	-	1620	9289
SYNPCC7002_RS00755	NC_010475.1	158726	159169	+	444	409
SYNPCC7002_RS00760	NC_010475.1	159222	159494	+	273	485
SYNPCC7002_RS00765	NC_010475.1	159599	160267	+	669	347
SYNPCC7002_RS00770	NC_010475.1	160274	160702	+	429	201
SYNPCC7002_RS00775	NC_010475.1	160764	161612	+	849	631
SYNPCC7002_RS00780	NC_010475.1	161801	162883	-	1083	252076
SYNPCC7002_RS00785	NC_010475.1	163051	165204	-	2154	2344
SYNPCC7002_RS00790	NC_010475.1	165337	166389	-	1053	1586
SYNPCC7002_RS00795	NC_010475.1	166576	167043	+	468	1114
SYNPCC7002_RS00800	NC_010475.1	167146	167700	+	555	1605
SYNPCC7002_RS00805	NC_010475.1	167725	168822	-	1098	873
SYNPCC7002_RS00810	NC_010475.1	169007	169735	-	729	1711
SYNPCC7002_RS00815	NC_010475.1	169701	170243	-	543	4214
SYNPCC7002_RS00820	NC_010475.1	170514	171947	+	1434	7155
SYNPCC7002_RS00825	NC_010475.1	172027	173013	-	987	515
SYNPCC7002_RS00830	NC_010475.1	173166	173519	+	354	9604
SYNPCC7002_RS00835	NC_010475.1	173717	175018	-	1302	25251
SYNPCC7002_RS00840	NC_010475.1	175339	176679	+	1341	1242
SYNPCC7002_RS00845	NC_010475.1	176689	178056	-	1368	1254
SYNPCC7002_RS00850	NC_010475.1	178297	179232	+	936	708
SYNPCC7002_RS00855	NC_010475.1	179360	181210	+	1851	723
SYNPCC7002_RS00860	NC_010475.1	181266	182762	+	1497	541
