# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "64" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX12668242_cds.txt" "SRX12668242.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX12668242.bam
SGL_RS02435	NC_000911.1	126639	127064	+	426	639
SGL_RS02440	NC_000911.1	127186	128712	+	1527	89
SGL_RS02445	NC_000911.1	128802	129710	+	909	171
SGL_RS02450	NC_000911.1	129791	130186	+	396	98
SGL_RS02455	NC_000911.1	130167	131039	-	873	26
SGL_RS02460	NC_000911.1	131116	131790	+	675	86
SGL_RS02465	NC_000911.1	131952	132407	+	456	360
SGL_RS02470	NC_000911.1	132483	133859	+	1377	267
SGL_RS02475	NC_000911.1	133923	134177	+	255	218
SGL_RS02480	NC_000911.1	134437	137442	+	3006	1267
SGL_RS02485	NC_000911.1	137444	138112	+	669	125
SGL_RS20105	NC_000911.1	138176	138301	-	126	0
SGL_RS02490	NC_000911.1	138295	140535	+	2241	138
SGL_RS02495	NC_000911.1	140585	141007	+	423	88
SGL_RS02500	NC_000911.1	141123	141428	-	306	4
SGL_RS02505	NC_000911.1	141648	142442	+	795	43
SGL_RS02510	NC_000911.1	142559	142981	+	423	85
SGL_RS02515	NC_000911.1	142981	143826	+	846	96
SGL_RS02520	NC_000911.1	144061	144543	+	483	20
SGL_RS02525	NC_000911.1	144554	145081	+	528	30
SGL_RS02530	NC_000911.1	145164	145529	-	366	150
SGL_RS02540	NC_000911.1	145761	146615	+	855	57
SGL_RS18650	NC_000911.1	146724	146831	-	108	28
SGL_RS02545	NC_000911.1	146980	147894	+	915	28
SGL_RS02550	NC_000911.1	148022	148942	-	921	207
SGL_RS02555	NC_000911.1	148943	149683	-	741	216
SGL_RS02560	NC_000911.1	149889	150455	-	567	189
SGL_RS02565	NC_000911.1	150594	152072	-	1479	57
SGL_RS02570	NC_000911.1	152154	153050	-	897	198
SGL_RS02580	NC_000911.1	153622	153996	+	375	6
SGL_RS02585	NC_000911.1	154143	154679	+	537	412
SGL_RS02590	NC_000911.1	154703	155461	+	759	114
SGL_RS02595	NC_000911.1	155473	156258	+	786	15
SGL_RS02600	NC_000911.1	156391	156651	+	261	44
SGL_RS02605	NC_000911.1	156741	157013	-	273	222
SGL_RS02610	NC_000911.1	157050	158615	-	1566	846
SGL_RS02615	NC_000911.1	158757	159737	-	981	80
SGL_RS19540	NC_000911.1	159812	159961	-	150	31
SGL_RS18655	NC_000911.1	160004	160093	-	90	28
SGL_RS02620	NC_000911.1	160258	161058	+	801	32
SGL_RS02625	NC_000911.1	161088	161642	-	555	69
SGL_RS02630	NC_000911.1	161768	163663	-	1896	492
SGL_RS02635	NC_000911.1	164037	165821	-	1785	30
SGL_RS02640	NC_000911.1	165871	166389	-	519	11
SGL_RS02645	NC_000911.1	166416	168152	-	1737	172
SGL_RS02655	NC_000911.1	168533	169921	+	1389	925
SGL_RS02660	NC_000911.1	169934	170566	-	633	18
SGL_RS02665	NC_000911.1	170572	171840	+	1269	107
SGL_RS02670	NC_000911.1	171939	172883	-	945	108
SGL_RS02675	NC_000911.1	173014	174525	-	1512	361
SGL_RS02680	NC_000911.1	174586	175143	-	558	150
SGL_RS02685	NC_000911.1	175143	175682	-	540	134
SGL_RS02690	NC_000911.1	175708	176139	-	432	111
SGL_RS02695	NC_000911.1	176256	176501	-	246	104
SGL_RS02700	NC_000911.1	176693	177523	-	831	328
SGL_RS02705	NC_000911.1	177592	178098	-	507	1207
SGL_RS02710	NC_000911.1	178309	179682	+	1374	250
SGL_RS02715	NC_000911.1	179734	181047	+	1314	121
SGL_RS02720	NC_000911.1	181097	182221	+	1125	20
SGL_RS02725	NC_000911.1	182354	183298	+	945	96
SGL_RS02730	NC_000911.1	183493	183849	+	357	147
SGL_RS02735	NC_000911.1	183935	184924	-	990	4
SGL_RS02740	NC_000911.1	184968	185636	-	669	11
SGL_RS02745	NC_000911.1	185772	186554	-	783	67
SGL_RS02750	NC_000911.1	186601	188892	-	2292	122
SGL_RS02755	NC_000911.1	189128	189715	+	588	248
SGL_RS02765	NC_000911.1	190033	190818	+	786	68
SGL_RS02770	NC_000911.1	190815	191819	-	1005	152
SGL_RS19750	NC_000911.1	191857	192045	+	189	0
SGL_RS02775	NC_000911.1	192136	192783	+	648	144
SGL_RS02780	NC_000911.1	192882	194306	+	1425	206
SGL_RS02785	NC_000911.1	194310	194801	+	492	17
SGL_RS02790	NC_000911.1	194877	195617	+	741	180
SGL_RS02795	NC_000911.1	195685	196305	+	621	21
SGL_RS19405	NC_000911.1	196424	196564	-	141	1
SGL_RS02800	NC_000911.1	196611	196991	+	381	96
SGL_RS02805	NC_000911.1	197072	197557	+	486	141
SGL_RS02810	NC_000911.1	197633	200185	+	2553	200
SGL_RS02815	NC_000911.1	200405	202525	+	2121	340
SGL_RS02820	NC_000911.1	202554	204395	+	1842	464
SGL_RS02825	NC_000911.1	204604	206397	+	1794	568
SGL_RS02830	NC_000911.1	206650	206853	-	204	5
SGL_RS02835	NC_000911.1	206863	208392	-	1530	69
SGL_RS02840	NC_000911.1	208549	209427	-	879	87
SGL_RS02845	NC_000911.1	209527	209826	-	300	52
SGL_RS02850	NC_000911.1	209896	210546	-	651	37
SGL_RS02855	NC_000911.1	210781	211629	+	849	70
SGL_RS02860	NC_000911.1	211734	213068	+	1335	115
SGL_RS02865	NC_000911.1	213031	215037	-	2007	437
SGL_RS02870	NC_000911.1	215504	216229	-	726	54
SGL_RS02875	NC_000911.1	216264	218273	-	2010	333
SGL_RS02880	NC_000911.1	218407	218709	-	303	124
SGL_RS02885	NC_000911.1	218742	219077	-	336	64
SGL_RS02890	NC_000911.1	219206	219517	-	312	225
SGL_RS02895	NC_000911.1	219979	221463	-	1485	392
SGL_RS02900	NC_000911.1	221742	223067	+	1326	84
SGL_RS02905	NC_000911.1	223114	223596	+	483	9
SGL_RS02910	NC_000911.1	223742	224806	+	1065	144
SGL_RS02915	NC_000911.1	224897	226363	-	1467	144
SGL_RS19550	NC_000911.1	226928	227098	+	171	19
SGL_RS02920	NC_000911.1	227123	227899	+	777	21
SGL_RS02925	NC_000911.1	227943	228812	+	870	19
SGL_RS02930	NC_000911.1	228866	230566	+	1701	42
SGL_RS02935	NC_000911.1	230658	231839	-	1182	18
SGL_RS02940	NC_000911.1	232008	234038	+	2031	213
SGL_RS02945	NC_000911.1	234120	234308	+	189	26
SGL_RS02950	NC_000911.1	234305	234838	+	534	29
SGL_RS02955	NC_000911.1	234905	236356	-	1452	18
SGL_RS02960	NC_000911.1	236356	237438	-	1083	107
SGL_RS02965	NC_000911.1	237600	238325	+	726	249
SGL_RS02970	NC_000911.1	238344	238745	+	402	57
SGL_RS02975	NC_000911.1	238804	240198	-	1395	239
SGL_RS02980	NC_000911.1	240299	240829	-	531	224
SGL_RS02985	NC_000911.1	240863	242047	-	1185	784
SGL_RS02990	NC_000911.1	242399	243094	+	696	86
SGL_RS02995	NC_000911.1	243158	244144	+	987	52
SGL_RS03000	NC_000911.1	244160	244708	-	549	26
SGL_RS03005	NC_000911.1	244783	245394	-	612	98
SGL_RS03010	NC_000911.1	245502	247019	-	1518	148
SGL_RS03015	NC_000911.1	247117	247569	-	453	51
SGL_RS03020	NC_000911.1	247670	248713	+	1044	21
SGL_RS03025	NC_000911.1	249062	250117	+	1056	371
SGL_RS03030	NC_000911.1	250160	251641	+	1482	118
SGL_RS03035	NC_000911.1	251758	253116	-	1359	111
SGL_RS03040	NC_000911.1	253125	255629	-	2505	150
SGL_RS03045	NC_000911.1	255823	256359	-	537	117
SGL_RS03055	NC_000911.1	256647	257279	+	633	245
SGL_RS03060	NC_000911.1	257426	258175	+	750	144
SGL_RS03065	NC_000911.1	258227	259363	-	1137	325
SGL_RS03075	NC_000911.1	259702	260271	-	570	79
SGL_RS03080	NC_000911.1	260463	261638	+	1176	233
SGL_RS19410	NC_000911.1	261659	261802	-	144	10
SGL_RS03085	NC_000911.1	261863	262060	+	198	54
SGL_RS03090	NC_000911.1	262177	263265	+	1089	85
SGL_RS03095	NC_000911.1	263321	263965	+	645	51
SGL_RS03100	NC_000911.1	264190	264477	+	288	7
SGL_RS03105	NC_000911.1	264516	265295	-	780	90
SGL_RS03110	NC_000911.1	265414	265938	-	525	54
SGL_RS03115	NC_000911.1	265995	266600	+	606	54
SGL_RS03120	NC_000911.1	266702	268471	-	1770	499
SGL_RS03125	NC_000911.1	268789	269727	-	939	83
SGL_RS03130	NC_000911.1	269773	270435	-	663	75
SGL_RS03135	NC_000911.1	270476	271369	-	894	291
SGL_RS03145	NC_000911.1	271684	273357	+	1674	96
SGL_RS19755	NC_000911.1	273522	273761	-	240	44
SGL_RS03155	NC_000911.1	273802	274386	-	585	252
SGL_RS03160	NC_000911.1	274502	275680	-	1179	157
SGL_RS03165	NC_000911.1	275807	276193	-	387	14
SGL_RS03170	NC_000911.1	276429	278342	+	1914	498
SGL_RS03175	NC_000911.1	278494	279561	+	1068	126
SGL_RS03180	NC_000911.1	279512	280087	-	576	328
SGL_RS03185	NC_000911.1	280127	280951	-	825	329
SGL_RS03190	NC_000911.1	280970	281443	-	474	211
SGL_RS03195	NC_000911.1	281507	282223	-	717	258
SGL_RS19760	NC_000911.1	282290	282541	-	252	384
SGL_RS19765	NC_000911.1	282510	282821	-	312	661
SGL_RS03210	NC_000911.1	283060	284487	+	1428	240
SGL_RS03215	NC_000911.1	284508	285080	+	573	59
SGL_RS03220	NC_000911.1	285144	285938	-	795	708
SGL_RS03225	NC_000911.1	286164	287843	+	1680	90
SGL_RS03230	NC_000911.1	287929	289104	-	1176	16
SGL_RS03235	NC_000911.1	289322	290845	+	1524	32
SGL_RS03240	NC_000911.1	290902	291174	+	273	78
SGL_RS03245	NC_000911.1	291626	292708	+	1083	1347
SGL_RS03250	NC_000911.1	292790	293485	-	696	139
SGL_RS19555	NC_000911.1	293496	293669	-	174	156
SGL_RS03255	NC_000911.1	293878	294963	-	1086	36
SGL_RS03260	NC_000911.1	295076	297343	+	2268	55
SGL_RS03265	NC_000911.1	297493	297888	-	396	197
SGL_RS03270	NC_000911.1	298083	298580	-	498	653
SGL_RS20110	NC_000911.1	298826	298957	-	132	118
SGL_RS03275	NC_000911.1	299522	300883	+	1362	84
SGL_RS03280	NC_000911.1	301110	302354	+	1245	431
SGL_RS03285	NC_000911.1	302367	302789	-	423	5
SGL_RS03290	NC_000911.1	302786	303190	-	405	59
SGL_RS03295	NC_000911.1	303424	303621	+	198	49
SGL_RS03300	NC_000911.1	303939	305546	+	1608	604
SGL_RS03305	NC_000911.1	305595	306824	+	1230	117
SGL_RS03310	NC_000911.1	306844	308076	+	1233	14
SGL_RS03315	NC_000911.1	308114	309412	-	1299	105
SGL_RS03320	NC_000911.1	309649	312171	+	2523	165
SGL_RS03325	NC_000911.1	312294	313715	+	1422	946
SGL_RS03330	NC_000911.1	313705	314199	-	495	22
SGL_RS03335	NC_000911.1	314255	315106	-	852	52
SGL_RS03340	NC_000911.1	315134	315784	-	651	78
SGL_RS03345	NC_000911.1	315882	316904	-	1023	52
SGL_RS03350	NC_000911.1	317127	317849	-	723	204
SGL_RS03355	NC_000911.1	317984	318571	+	588	41
SGL_RS03360	NC_000911.1	318661	318897	+	237	695
SGL_RS03365	NC_000911.1	319096	320529	+	1434	487
SGL_RS03375	NC_000911.1	320785	321447	-	663	35
SGL_RS03380	NC_000911.1	321699	323606	+	1908	765
SGL_RS03385	NC_000911.1	323805	324731	+	927	67
SGL_RS03390	NC_000911.1	324831	326006	+	1176	131
SGL_RS03395	NC_000911.1	326150	326944	+	795	143
SGL_RS03400	NC_000911.1	327100	327552	+	453	4424
SGL_RS03405	NC_000911.1	327604	327981	-	378	13
SGL_RS03410	NC_000911.1	328006	329181	-	1176	64
SGL_RS03415	NC_000911.1	329222	329521	-	300	1
SGL_RS03420	NC_000911.1	329555	331060	-	1506	130
SGL_RS03425	NC_000911.1	331144	333027	+	1884	99
SGL_RS03430	NC_000911.1	333130	334485	+	1356	270
SGL_RS03435	NC_000911.1	334568	335623	-	1056	647
SGL_RS03440	NC_000911.1	335819	336295	-	477	313
SGL_RS03445	NC_000911.1	336313	336582	-	270	405
SGL_RS03450	NC_000911.1	336747	337760	-	1014	30
SGL_RS03455	NC_000911.1	337861	338331	-	471	36
SGL_RS03460	NC_000911.1	338503	339063	-	561	53
SGL_RS03465	NC_000911.1	339140	339625	-	486	858
SGL_RS03470	NC_000911.1	339737	340999	-	1263	349
SGL_RS03475	NC_000911.1	341135	342139	-	1005	26
SGL_RS03480	NC_000911.1	342151	342759	-	609	94
SGL_RS03485	NC_000911.1	343026	343559	+	534	210
SGL_RS03490	NC_000911.1	343863	344720	+	858	665
SGL_RS03495	NC_000911.1	344744	345298	-	555	87
SGL_RS03505	NC_000911.1	345536	347806	-	2271	502
SGL_RS19420	NC_000911.1	347980	348123	-	144	1
SGL_RS03515	NC_000911.1	348701	349429	+	729	206
SGL_RS03520	NC_000911.1	349468	350298	+	831	34
SGL_RS03525	NC_000911.1	350479	350916	+	438	512
SGL_RS03530	NC_000911.1	351036	351467	+	432	203
SGL_RS03535	NC_000911.1	351538	352101	+	564	259
SGL_RS03540	NC_000911.1	352263	353555	+	1293	187
SGL_RS03545	NC_000911.1	353552	354322	+	771	71
SGL_RS03550	NC_000911.1	354323	355405	+	1083	90
SGL_RS03555	NC_000911.1	355424	355993	+	570	62
SGL_RS03560	NC_000911.1	355990	357210	+	1221	130
SGL_RS03565	NC_000911.1	357245	357697	+	453	813
SGL_RS03570	NC_000911.1	357748	358608	+	861	924
SGL_RS03575	NC_000911.1	358760	359350	+	591	224
SGL_RS19770	NC_000911.1	359514	359663	+	150	48
SGL_RS03580	NC_000911.1	359668	359973	+	306	208
SGL_RS03585	NC_000911.1	360030	361166	+	1137	311
SGL_RS03590	NC_000911.1	361163	362188	+	1026	378
SGL_RS03595	NC_000911.1	362185	363420	+	1236	214
SGL_RS03600	NC_000911.1	363490	364218	+	729	72
SGL_RS03605	NC_000911.1	364421	364996	+	576	137
SGL_RS03610	NC_000911.1	365077	365283	+	207	204
SGL_RS03615	NC_000911.1	365274	365621	+	348	141
SGL_RS03620	NC_000911.1	365716	367785	+	2070	94
SGL_RS03625	NC_000911.1	367807	368910	+	1104	69
SGL_RS03630	NC_000911.1	369149	370219	+	1071	60
SGL_RS03635	NC_000911.1	370285	371490	+	1206	95
SGL_RS03640	NC_000911.1	371487	372509	+	1023	88
SGL_RS03645	NC_000911.1	372811	373167	+	357	62
SGL_RS03650	NC_000911.1	373231	373644	+	414	23
SGL_RS03655	NC_000911.1	373654	374511	+	858	24
SGL_RS03660	NC_000911.1	374646	375452	+	807	35
SGL_RS03665	NC_000911.1	375470	376432	+	963	102
SGL_RS03670	NC_000911.1	376485	377639	+	1155	63
SGL_RS03675	NC_000911.1	377719	378951	+	1233	39
SGL_RS18670	NC_000911.1	379065	379913	+	849	0
SGL_RS03685	NC_000911.1	380030	381175	+	1146	68
SGL_RS03690	NC_000911.1	381177	382337	+	1161	61
SGL_RS03695	NC_000911.1	382407	382646	+	240	158
SGL_RS03700	NC_000911.1	382643	382873	+	231	56
SGL_RS03705	NC_000911.1	382949	383266	+	318	28
SGL_RS18675	NC_000911.1	383300	383794	+	495	465
SGL_RS03715	NC_000911.1	383817	384053	+	237	132
SGL_RS03720	NC_000911.1	384050	384247	+	198	70
SGL_RS03725	NC_000911.1	384343	384975	+	633	191
SGL_RS03730	NC_000911.1	384980	385390	+	411	183
SGL_RS03735	NC_000911.1	385467	386012	+	546	155
SGL_RS03740	NC_000911.1	386177	386617	+	441	90
SGL_RS03745	NC_000911.1	386681	387955	+	1275	93
SGL_RS03750	NC_000911.1	388065	389201	+	1137	41
SGL_RS03755	NC_000911.1	389175	390353	-	1179	70
SGL_RS03760	NC_000911.1	390353	390634	-	282	82
SGL_RS03765	NC_000911.1	390905	391840	-	936	6
SGL_RS03770	NC_000911.1	391899	393104	-	1206	87
SGL_RS03775	NC_000911.1	393121	393849	-	729	184
SGL_RS03780	NC_000911.1	393996	396017	-	2022	455
SGL_RS03785	NC_000911.1	396057	396878	-	822	169
SGL_RS03790	NC_000911.1	397037	398143	+	1107	141
SGL_RS19170	NC_000911.1	398188	398361	+	174	68
SGL_RS03800	NC_000911.1	398441	399214	-	774	36
SGL_RS03805	NC_000911.1	399275	400600	-	1326	219
SGL_RS03810	NC_000911.1	400720	402048	-	1329	88
SGL_RS03815	NC_000911.1	402290	403432	+	1143	426
SGL_RS03820	NC_000911.1	403552	404427	+	876	119
SGL_RS03825	NC_000911.1	404545	410184	-	5640	299
SGL_RS03830	NC_000911.1	410315	414544	-	4230	138
SGL_RS20115	NC_000911.1	414577	414702	+	126	4
SGL_RS03840	NC_000911.1	414871	415404	+	534	141
SGL_RS03845	NC_000911.1	415562	416245	+	684	574
SGL_RS03850	NC_000911.1	416356	417165	+	810	155
SGL_RS03855	NC_000911.1	417201	418541	+	1341	186
SGL_RS19775	NC_000911.1	418704	419126	+	423	87
SGL_RS03865	NC_000911.1	419161	420264	+	1104	55
SGL_RS03870	NC_000911.1	420502	421731	+	1230	226
SGL_RS18680	NC_000911.1	421765	422343	-	579	83
SGL_RS19780	NC_000911.1	422253	422612	-	360	145
SGL_RS03885	NC_000911.1	422772	423479	-	708	37
SGL_RS03890	NC_000911.1	423490	424566	-	1077	282
SGL_RS03895	NC_000911.1	424694	425464	-	771	30
SGL_RS03900	NC_000911.1	425468	427738	-	2271	160
SGL_RS03905	NC_000911.1	427777	428544	-	768	206
SGL_RS03910	NC_000911.1	428619	429614	-	996	33
SGL_RS03915	NC_000911.1	429810	430169	+	360	36
SGL_RS03920	NC_000911.1	430424	431044	-	621	145
SGL_RS03925	NC_000911.1	431350	432795	+	1446	38
SGL_RS03930	NC_000911.1	432779	434308	-	1530	22
SGL_RS03935	NC_000911.1	434320	436158	-	1839	26
SGL_RS03940	NC_000911.1	436234	437265	+	1032	33
SGL_RS03945	NC_000911.1	437705	437908	+	204	63
SGL_RS03950	NC_000911.1	437922	439118	+	1197	193
SGL_RS03955	NC_000911.1	439184	440437	-	1254	271
SGL_RS03960	NC_000911.1	440610	441986	-	1377	90
SGL_RS03965	NC_000911.1	442164	443933	+	1770	317
SGL_RS03970	NC_000911.1	443913	444944	-	1032	79
SGL_RS03975	NC_000911.1	445061	445924	-	864	187
SGL_RS03985	NC_000911.1	446230	446751	+	522	63
SGL_RS03990	NC_000911.1	446807	447694	+	888	86
SGL_RS03995	NC_000911.1	447831	448979	+	1149	31
SGL_RS04000	NC_000911.1	449088	450041	+	954	5
SGL_RS04005	NC_000911.1	450740	451651	+	912	131
SGL_RS04010	NC_000911.1	451735	452922	+	1188	88
SGL_RS04015	NC_000911.1	453214	454446	+	1233	23
SGL_RS04020	NC_000911.1	454712	456793	-	2082	63
SGL_RS04025	NC_000911.1	456975	458297	+	1323	52
SGL_RS04030	NC_000911.1	458408	458857	-	450	423
SGL_RS04035	NC_000911.1	459200	460096	+	897	79
SGL_RS04040	NC_000911.1	460250	460690	-	441	12858
SGL_RS04045	NC_000911.1	460692	460895	+	204	2
SGL_RS04050	NC_000911.1	460956	461960	-	1005	187
SGL_RS04055	NC_000911.1	462147	462554	-	408	217
SGL_RS04060	NC_000911.1	462809	463678	+	870	227
SGL_RS04065	NC_000911.1	463690	464307	-	618	27
SGL_RS04070	NC_000911.1	464437	465177	-	741	6
SGL_RS04075	NC_000911.1	465232	465561	-	330	16
SGL_RS19425	NC_000911.1	465560	465718	+	159	3
SGL_RS04080	NC_000911.1	465750	466493	+	744	37
SGL_RS04085	NC_000911.1	466588	467037	+	450	45
SGL_RS04090	NC_000911.1	467201	467296	+	96	44
SGL_RS04095	NC_000911.1	467436	467813	+	378	142
SGL_RS04100	NC_000911.1	467836	468666	-	831	103
SGL_RS04105	NC_000911.1	469001	469531	-	531	238
SGL_RS04110	NC_000911.1	469592	470914	+	1323	599
SGL_RS04115	NC_000911.1	471080	472930	+	1851	1533
SGL_RS04120	NC_000911.1	473139	473675	+	537	9
SGL_RS04125	NC_000911.1	473953	474204	-	252	13
SGL_RS04130	NC_000911.1	474205	474432	-	228	13
SGL_RS04135	NC_000911.1	474511	474792	-	282	15
SGL_RS04140	NC_000911.1	474789	475007	-	219	5
SGL_RS04145	NC_000911.1	475110	475445	-	336	13
SGL_RS04150	NC_000911.1	475435	475743	-	309	19
SGL_RS04155	NC_000911.1	475873	477399	-	1527	243
SGL_RS04160	NC_000911.1	477668	482320	-	4653	1062
SGL_RS18685	NC_000911.1	482542	483199	+	658	145
SGL_RS04175	NC_000911.1	483326	484564	+	1239	66
SGL_RS04180	NC_000911.1	484799	486247	-	1449	52
SGL_RS04185	NC_000911.1	486244	487353	-	1110	39
